net,sta,loc,ch,lat,lon,wZ,wN,wE,starttime
GE,EIL,,BH,29.6699,34.9512,1.0,1.0,1.0,2008-05-23T00:00:00
GE,HALK,,BH,6.0885,80.6805,1.0,1.0,1.0,2010-04-23T00:00:00
GE,HMDM,,BH,6.77314,73.18216,1.0,1.0,1.0,2008-01-22T00:00:00
GE,KAAM,,BH,0.49264,72.99486,1.0,1.0,1.0,2008-01-29T00:00:00
GE,KIBK,,BH,-2.35907,38.0433,1.0,1.0,1.0,2011-09-13T00:00:00
GE,KMBO,00,BH,-1.1268,37.2523,1.0,1.0,1.0,2003-03-07T00:00:00
GE,LODK,,SH,3.42195,35.36165,1.0,1.0,1.0,2011-09-12T00:00:00
GE,MALK,,BH,8.39682,80.54254,1.0,1.0,1.0,2010-04-10T00:00:00
GE,PMG,00,BH,-9.4047,147.1597,1.0,1.0,1.0,1999-05-13T02:50:00
GE,SBV,,SH,-13.4584,49.9212,1.0,1.0,1.0,2009-11-19T00:00:00
GE,SNAA,,BH,-71.6707,-2.8379,1.0,1.0,1.0,2011-01-15T09:56:00
GE,VOI,,BH,-21.90648,46.79327,1.0,1.0,1.0,2009-11-26T00:00:00
GT,BOSA,,SH,-28.6141,25.255501,1.0,1.0,1.0,1993-02-26T00:00:00
GT,CPUP,,SH,-26.33064,-57.33087,1.0,1.0,1.0,2005-10-06T19:34:04
GT,LBTB,,SH,-25.0151,25.596649,1.0,1.0,1.0,1993-04-17T00:00:00
GT,VNDA,,SH,-77.517273,161.852753,1.0,1.0,1.0,1993-12-28T00:00:00
HP,GTN13,,SH,-8.127662,115.180065,1.0,1.0,1.0,2023-02-15T20:38:53
IA,AAFM,,BH,-8.2734,124.723,1.0,1.0,1.0,2020-10-01T00:00:00
IA,AAI,,SH,-3.687158,128.194313,1.0,1.0,1.0,2006-01-01T00:00:00
IA,AAII,00,SH,-3.687158,128.194331,1.0,1.0,1.0,2005-01-01T00:00:00
IA,ABJI,,SH,-7.7957,114.2342,1.0,1.0,1.0,2008-01-01T00:00:00
IA,ABSM,00,SH,-3.4254,102.26295,1.0,1.0,1.0,2019-01-01T00:00:00
IA,ACBM,,BH,-7.029754,107.682833,1.0,1.0,1.0,2019-01-01T00:00:00
IA,ACJM,00,SH,-6.80323,108.615124,1.0,1.0,1.0,2019-01-01T00:00:00
IA,ALKI,,SH,-8.1445,124.5903,1.0,1.0,1.0,2010-10-01T00:00:00
IA,ALTI,00,BH,-8.29069,125.12517,1.0,1.0,1.0,2019-01-01T00:00:00
IA,AMPM,,BH,-1.2674,132.491,1.0,1.0,1.0,2020-10-01T00:00:00
IA,ANAPI,,SH,-1.323,133.912,1.0,1.0,1.0,2023-08-06T07:45:29
IA,APSI,,SH,-0.9108,121.6487,1.0,1.0,1.0,2008-01-01T00:00:00
IA,APSSI,,SH,-3.932,102.465,1.0,1.0,1.0,2022-09-22T07:45:29
IA,ARKPI,,SH,-2.783,140.592,1.0,1.0,1.0,2022-09-22T07:45:29
IA,ARMI,00,BH,-5.7749,134.2189,1.0,1.0,1.0,2019-01-01T00:00:00
IA,ARPI,00,BH,-2.89961,140.74765,1.0,1.0,1.0,2019-01-01T00:00:00
IA,ARSKI,,SH,-6.85843,115.28619,1.0,1.0,1.0,2022-09-22T07:45:29
IA,ASTTI,,SH,-10.068,124.299,1.0,1.0,1.0,2022-09-22T07:45:29
IA,ATKTI,,SH,-9.425,124.09,1.0,1.0,1.0,2022-09-22T07:45:29
IA,ATNI,,SH,-9.0835,124.8644,1.0,1.0,1.0,2012-01-01T00:00:00
IA,BAJI,,BH,-7.09057,112.70853,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BAKI,,BH,-1.19145,136.10702,1.0,1.0,1.0,2005-01-01T00:00:00
IA,BAPJI,,SH,-7.912,111.305,1.0,1.0,1.0,2023-07-04T12:00:00
IA,BASAI,,SH,2.307,97.407,1.0,1.0,1.0,2023-12-20T00:00:00
IA,BASI,,SH,-10.2189,120.5777,1.0,1.0,1.0,2009-01-01T00:00:00
IA,BATI,,SH,-10.2065,123.6633,1.0,1.0,1.0,2007-01-01T00:00:00
IA,BATPI,,SH,-2.5427,133.4455,1.0,1.0,1.0,2023-08-05T07:45:29
IA,BBBCM,,BH,-5.5771,120.448,1.0,1.0,1.0,2019-11-01T00:00:00
IA,BBCI,00,SH,1.158027,121.436232,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BBCM,00,SH,-5.0392,120.058,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BBJI,,SH,-7.462603,107.65,1.0,1.0,1.0,2016-09-05T00:00:00
IA,BBJM,00,SH,-7.326,111.8099,1.0,1.0,1.0,2019-01-01T00:00:00
